N,R,P,CI
500,83,80,99
500,117,80,90
500,117,80,95
500,117,80,99
500,125,80,90
500,125,80,95
500,125,80,99
500,79,80,90
500,79,80,95
500,79,80,99
500,106,80,90
500,106,80,95
500,106,80,99
500,120,80,90
500,120,80,95
500,120,80,99
500,81,80,90
500,81,80,95
500,81,80,99
500,78,80,90
500,78,80,95
500,78,80,99
500,122,80,90
500,122,80,95
500,122,80,99
500,82,80,90
500,82,80,95
500,82,80,99
500,128,80,90
500,128,80,95
500,128,80,99
500,77,80,90
500,77,80,95
500,77,80,99
500,118,80,90
500,118,80,95
500,118,80,99
500,75,80,90
500,75,80,95
500,75,80,99
500,123,80,90
500,123,80,95
500,123,80,99
500,431,20,90
500,431,20,95
500,431,20,99
500,432,20,90
500,432,20,95
500,432,20,99
500,424,20,90
500,424,20,95
500,424,20,99
500,430,20,90
500,430,20,95
500,430,20,99
500,427,20,90
500,427,20,95
500,427,20,99
500,435,20,90
500,435,20,95
500,435,20,99
500,279,50,90
500,279,50,95
500,279,50,99
500,297,50,90
500,297,50,95
500,297,50,99
500,283,50,90
500,283,50,95
500,283,50,99
500,292,50,90
500,292,50,95
500,292,50,99
500,278,50,90
500,278,50,95
500,278,50,99
500,303,50,90
500,303,50,95
500,303,50,99
500,290,50,90
500,290,50,95
500,290,50,99
500,285,50,90
500,285,50,95
500,285,50,99
500,286,50,90
500,286,50,95
500,286,50,99
500,287,50,90
500,287,50,95
500,287,50,99
500,293,50,90
500,293,50,95
500,293,50,99
500,296,50,90
500,296,50,95
500,296,50,99
500,282,50,90
500,282,50,95
500,282,50,99
500,294,50,90
500,294,50,95
500,294,50,99
500,288,50,90
500,288,50,95
500,288,50,99
500,295,50,90
500,295,50,95
500,295,50,99
500,301,50,90
500,301,50,95
500,301,50,99
500,289,50,90
500,289,50,95
500,289,50,99
500,300,50,90
500,300,50,95
500,300,50,99
500,302,50,90
500,302,50,95
500,302,50,99
500,298,50,90
500,298,50,95
500,298,50,99
500,304,50,90
500,304,50,95
500,304,50,99
500,313,50,90
500,313,50,95
500,313,50,99
500,307,50,90
500,307,50,95
500,307,50,99
500,299,50,90
500,299,50,95
500,299,50,99
500,308,50,90
500,308,50,95
500,308,50,99
500,134,80,90
500,134,80,95
500,134,80,99
500,140,80,90
500,140,80,95
500,140,80,99
500,137,80,90
500,137,80,95
500,137,80,99
500,158,80,90
500,158,80,95
500,158,80,99
500,126,80,90
500,126,80,95
500,126,80,99
500,145,80,90
500,145,80,95
500,145,80,99
500,146,80,90
500,146,80,95
500,146,80,99
500,142,80,90
500,142,80,95
500,142,80,99
500,144,80,90
500,144,80,95
500,144,80,99
500,141,80,90
500,141,80,95
500,141,80,99
500,132,80,90
500,132,80,95
500,132,80,99
500,136,80,90
500,136,80,95
500,136,80,99
500,139,80,90
500,139,80,95
500,139,80,99
500,130,80,90
500,130,80,95
500,130,80,99
500,135,80,90
500,135,80,95
500,135,80,99
500,131,80,90
500,131,80,95
500,131,80,99
500,154,80,90
500,154,80,95
500,154,80,99
500,138,80,90
500,138,80,95
500,138,80,99
500,143,80,90
500,143,80,95
500,143,80,99
500,133,80,90
500,133,80,95
500,133,80,99
500,155,80,90
500,155,80,95
500,155,80,99
500,129,80,90
500,129,80,95
500,129,80,99
500,150,80,90
500,150,80,95
500,150,80,99
500,161,80,90
500,161,80,95
500,161,80,99
500,149,80,90
500,149,80,95
500,149,80,99
500,148,80,90
500,148,80,95
500,148,80,99
500,151,80,90
500,151,80,95
500,151,80,99
500,152,80,90
500,152,80,95
500,152,80,99
500,147,80,90
500,147,80,95
500,147,80,99
500,157,80,90
500,157,80,95
500,157,80,99
500,156,80,90
500,156,80,95
500,156,80,99
500,153,80,90
500,153,80,95
500,153,80,99
500,124,80,90
500,124,80,95
500,124,80,99
500,159,80,90
500,159,80,95
500,159,80,99
500,160,80,90
500,160,80,95
500,160,80,99
500,163,80,90
500,163,80,95
500,163,80,99
500,164,80,90
500,164,80,95
500,164,80,99
500,167,80,90
500,167,80,95
500,167,80,99
500,172,80,90
500,172,80,95
500,172,80,99
500,437,20,90
500,437,20,95
500,437,20,99
500,434,20,90
500,434,20,95
500,434,20,99
500,433,20,90
500,433,20,95
500,433,20,99
500,440,20,90
500,440,20,95
500,440,20,99
500,442,20,90
500,442,20,95
500,442,20,99
500,436,20,90
500,436,20,95
500,436,20,99
500,439,20,90
500,439,20,95
500,439,20,99
500,438,20,90
500,438,20,95
500,438,20,99
500,443,20,90
500,443,20,95
500,443,20,99
500,441,20,90
500,441,20,95
500,441,20,99
500,311,50,90
500,311,50,95
500,311,50,99
500,306,50,90
500,306,50,95
500,306,50,99
500,305,50,90
500,305,50,95
500,305,50,99
500,309,50,90
500,309,50,95
500,309,50,99
500,310,50,90
500,310,50,95
500,310,50,99
500,323,50,90
500,323,50,95
500,323,50,99
500,315,50,90
500,315,50,95
